,Author,State,closed_at,created_at,issue_number,labels
268,SSP19SCM781,closed,2019-04-05,2019-04-02,109,"['Category:Inquiry', 'DetectionPhase:Coding', 'OriginationPhase:Documentation', 'Priority:Major', 'Status:inProgress']"
269,SSP19SCM781,closed,2019-04-08,2019-04-02,108,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Field', 'Priority:Major', 'Status:Rejected']"
270,DSP19SCM782,closed,2019-04-09,2019-04-02,107,"['Category:Inquiry', 'DetectionPhase:Coding', 'OriginationPhase:Coding', 'OriginationPhase:Testing', 'Status:Approved']"
271,DSP19SCM782,closed,2019-04-08,2019-04-02,106,"['Category:Inquiry', 'DetectionPhase:Coding', 'OriginationPhase:Documentation', 'Priority:Medium', 'Status:inProgress']"
272,DSP19SCM781,closed,2019-04-07,2019-04-02,105,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Design', 'Priority:High', 'Status:pendingReview']"
273,DSP19SCM781,closed,2019-04-10,2019-04-02,103,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Coding', 'Priority:Low', 'Status:Completed']"
274,PSP19SCM40J,closed,2019-04-02,2019-04-02,101,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'OritinationPhase:Design', 'Priority:High', 'Priority:Medium', 'Status:Approved', 'Status:inProgress', 'Status:pendingReview']"
275,HSP19SCM72L,closed,2019-04-02,2019-04-02,100,"['Address:600 N Clark St Chicago IL 60610', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.892502', 'Longitude:-87.631279', 'OriginationPhase:Requirements', 'Priority:High', 'Status:Approved']"
276,VSP19SCM12C,closed,2019-04-02,2019-04-02,99,"['Address:3020 S Halsted St Chicago IL 60608', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.879519', 'Longitude:-87.633531', 'OriginationPhase:Requirements', 'Priority:High', 'Status:Approved']"
277,JSP19SCM65Z,closed,2019-04-02,2019-04-02,98,"['Address:3020 S Halsted St Chicago IL 60608', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.879519', 'Longitude:-87.646896', 'OriginationPhase:Requirements', 'Priority:High', 'Status:Approved']"
278,KSP19SCM90B,closed,2019-04-02,2019-04-02,95,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Design', 'Priority:High', 'Status:inProgress']"
279,SSP19SCM98G,closed,2019-04-02,2019-04-02,94,"['Address:3020 S Halsted St Chicago IL 60608', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.879519', 'Longitude:-87.646896', 'OriginationPhase:Design', 'Priority:High', 'Status:inProgress']"
280,XSP19SCM71C,closed,2019-04-02,2019-04-02,92,"['Address:3020 S Halsted St Chicago IL 60608', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.879519', 'Longitude:-87.633531', 'Priority:Medium', 'Status:pendingReview']"
281,SSP19SCM52K,closed,2019-04-02,2019-04-02,87,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Design', 'Priority:High', 'Status:inProgress']"
282,NSP19SCM30A,closed,2019-04-02,2019-04-02,82,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Design', 'Priority:Medium', 'Status:inProgress']"
283,fashokkumar,closed,2019-04-02,2019-04-02,81,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847200', 'Longitude:-87.617190', 'OriginationPhase:Design', 'Priority:Medium', 'Status:inProgress']"
284,SSP19SCM52K,closed,2019-04-02,2019-04-02,79,[]
285,fashokkumar,closed,2019-04-02,2019-04-02,77,[]
286,SSP19SCM52K,closed,2019-04-02,2019-04-02,76,[]
287,NSP19SCM30A,closed,2019-04-02,2019-04-02,75,[]
288,VSP19SCM70K,closed,2019-04-02,2019-04-02,74,"['Address:1200 S Milwaukee Ave Prospect Heights IL', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:42.109120', 'Longitude:-87.890880', 'Priority:Medium', 'Status:Approved']"
289,ASP19SCM23W,closed,2019-04-02,2019-04-02,73,"['Address:119 N Wabash Ave Chicago IL 60602', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.883678', 'Longitude:-87.625832', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:Approved']"
290,MSP19SCM18H,closed,2019-04-02,2019-04-02,71,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847198', 'Longitude:-87.633531', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:pendingReview']"
291,JSP19SCM42J,closed,2019-04-02,2019-04-02,70,"['Address:105 N Union St Byron IL  61010', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:42.125900', 'Longitude:-89.255610', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:Approved']"
292,JSP19SCM13R,closed,2019-04-02,2019-04-02,69,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.847198', 'Longitude:-87.633531', 'OriginationPhase:Requirements', 'Priority:High', 'Status:pendingReview']"
293,RSP19SCM782,closed,2019-04-07,2019-04-01,67,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:inProgress']"
294,RSP19SCM782,closed,2019-04-08,2019-04-01,66,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Field', 'Priority:Medium', 'Status:Approved']"
295,JSP19SCM59D,closed,2019-04-01,2019-04-01,65,"['Address:3020 S Halsted St Chicago IL 60608', 'Category:Bug', 'DetectionPhase:Design', 'Latitude:41.879519', 'Longitude:-87.646896', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:inProgress']"
296,RSP19SCM781,closed,2019-04-08,2019-04-01,64,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Documentation', 'Priority:Medium', 'Status:inProgress']"
297,RSP19SCM781,closed,2019-04-02,2019-04-01,63,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Testing', 'Priority:Major', 'Status:Approved']"
298,TSP19SCM782,closed,2019-04-08,2019-04-01,62,"['Category:Inquiry', 'DetectionPhase:Coding', 'OritinationPhase:Design', 'Priority:Low', 'Status:Completed']"
299,TSP19SCM782,closed,2019-04-02,2019-04-01,61,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Requirements', 'Priority:High', 'Status:Rejected']"
300,SPM587SP19,closed,2019-04-07,2019-04-01,60,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:Medium', 'Status:Rejected']"
301,TSP19SCM781,closed,2019-04-02,2019-04-01,59,"['Category:Inquiry', 'DetectionPhase:Coding', 'OriginationPhase:Field', 'Priority:Major', 'Status:pendingReview']"
302,SPM587SP19,closed,2019-04-03,2019-04-01,58,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Low', 'Status:inProgress']"
303,SPM587SP19,closed,2019-04-02,2019-04-01,57,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Coding', 'Priority:Low', 'Status:Approved']"
304,ASP19SCM00V,closed,2019-04-01,2019-04-01,56,[]
305,TSP19SCM781,closed,2019-04-01,2019-03-31,55,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Coding', 'Priority:Low', 'Status:inProgress']"
306,SPM587SP19,closed,2019-04-01,2019-03-31,54,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Field', 'Priority:Medium', 'Status:pendingReview']"
307,SPM587SP19,closed,2019-04-03,2019-03-31,53,"['Category:Inquiry', 'DetectionPhase:Coding', 'OritinationPhase:Design', 'Priority:High', 'Status:pendingReview']"
308,SPM587SP19,closed,2019-04-01,2019-03-31,52,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:Completed']"
309,SPM587SP19,closed,2019-04-01,2019-03-31,51,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:Completed']"
310,SPM587SP19,closed,2019-04-02,2019-03-31,50,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Field', 'Priority:High', 'Status:Approved']"
311,SPM587SP19,closed,2019-04-01,2019-03-31,49,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:Low', 'Status:inProgress']"
312,SPM587SP19,closed,2019-04-01,2019-03-31,48,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Coding', 'Priority:Low', 'Status:inProgress']"
313,SPM587SP19,closed,2019-04-05,2019-03-31,47,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:Medium', 'Status:Rejected']"
